time_s,signal
0.0,0.10204595606925913
0.002,0.5277859703101074
0.004,1.1995878104706703
0.006,1.43542539367056
0.008,1.4311500540695987
0.01,1.1405106891848036
0.012,0.5172303354030153
0.014,-0.04866108961009931
0.016,-0.7252308871437753
0.018000000000000002,-1.020439237899626
0.02,-1.4387805498478932
0.022,-1.4385095691283842
0.024,-1.1209796113902306
0.026000000000000002,-0.6068925150484102
0.028,0.017596072294040303
0.03,0.6747335669011079
0.032,1.1972784371381247
0.034,1.40053962497622
0.036000000000000004,1.4146712222553468
0.038,1.0386380351777946
0.04,0.526331613764155
0.042,-0.018962117417013438
0.044,-0.6625802242479469
0.046,-1.162645948631298
0.048,-1.3608897132715385
0.05,-1.2668663695584965
0.052000000000000005,-0.8831854453214552
0.054,-0.4904332012121813
0.056,0.09928669132514237
0.058,0.7167578891581973
0.06,1.0346058804987863
0.062,1.2548648844901797
0.064,1.249341467297738
0.066,0.933671827607912
0.068,0.43731134027492646
0.07,-0.07964175063463749
0.07200000000000001,-0.764808153478079
0.074,-0.9473000575212217
0.076,-1.2158381442771442
0.078,-1.1876810739219672
0.08,-0.8128892847366774
0.082,-0.360935449436816
0.084,0.07680154575948994
0.08600000000000001,0.5057758827842761
0.088,0.8983578653763212
0.09,1.0472564660136603
0.092,1.0651322067512632
0.094,0.7873956771771324
0.096,0.3794205326535821
0.098,-0.011982020277660085
0.1,-0.4858044106428657
0.10200000000000001,-0.8233992551469166
0.10400000000000001,-0.889831118013045
0.106,-0.8519447107082108
0.108,-0.6890635474377298
0.11,-0.39574389704013835
0.112,0.029348757479241074
0.114,0.24760664388255005
0.116,0.6758279645599538
0.11800000000000001,0.8037178978842705
0.12,0.6850513827582903
0.122,0.6180566864383364
0.124,0.3103070758676177
0.126,0.08787198075956804
0.128,-0.35350082047591913
0.13,-0.5388039976170177
0.132,-0.5988872491159766
0.134,-0.5987592600995094
0.136,-0.6708351200998199
0.138,-0.40156393596113343
0.14,-0.11897072143233295
0.14200000000000002,0.08612302736408428
0.14400000000000002,0.4157334282186514
0.146,0.42934186487928316
0.148,0.5712286648809423
0.15,0.4720514659251984
0.152,0.48178222751883165
0.154,0.23555793586047474
0.156,0.011519475639360111
0.158,-0.26072551435068586
0.16,-0.26281713798828227
0.162,-0.4233698008110894
0.164,-0.46354288129279925
0.166,-0.4057179517140555
0.168,-0.3340798433054084
0.17,-0.21663438132134236
0.17200000000000001,-0.026814208261894637
0.17400000000000002,0.17228881522622297
0.176,0.4502929391514692
0.178,0.4210288366831198
0.18,0.49907407795560743
0.182,0.46109483063922224
0.184,0.35423334486224783
0.186,0.1731647403927179
0.188,-0.15106430848818256
0.19,-0.40437404157422946
0.192,-0.5032470678510989
0.194,-0.547750457420373
0.196,-0.572188534907361
0.198,-0.49010954694045544
0.2,-0.30975040834710527
0.202,-0.006479735720547886
0.20400000000000001,0.2583859663867726
0.20600000000000002,0.568297876935785
0.20800000000000002,0.6589304092209659
0.21,0.7530623749471103
0.212,0.6485361288833917
0.214,0.4587150476849081
0.216,0.12579819291442754
0.218,-0.11283283382191439
0.22,-0.49086715700048067
0.222,-0.7215910096199507
0.224,-0.9839665201457137
0.226,-0.8154299411947633
0.228,-0.5845270924567766
0.23,-0.16336028984473658
0.232,0.1129751951654639
0.234,0.6746557391933603
0.23600000000000002,0.9515209037158316
0.23800000000000002,0.9476791048902389
0.24,0.881131378825752
0.242,0.6188179819931044
0.244,0.24870562069763558
0.246,-0.1972058111556186
0.248,-0.5726428193874049
0.25,-1.0098722714943806
0.252,-1.0962418548315807
0.254,-1.037822724604309
0.256,-0.6559242858177683
0.258,-0.24700606030012956
0.26,0.31393922187185197
0.262,0.6859469527960224
0.264,1.088269683109177
0.266,1.2029335454414998
0.268,1.2174150624395632
0.27,0.8409123537799725
0.272,0.2881728732436471
0.274,-0.29586287435186703
0.276,-0.7824312788277179
0.278,-1.222876311242059
0.28,-1.3828425814936556
0.28200000000000003,-1.1935389645919328
0.28400000000000003,-0.7276587704960539
0.28600000000000003,-0.3182727168530138
0.28800000000000003,0.2816389234747796
0.29,0.813125769455807
0.292,1.1991711774140952
0.294,1.43597793607432
0.296,1.3130139165166257
0.298,0.8731587396848375
0.3,0.3105214255800642
0.302,-0.3448706681293288
0.304,-0.9240523053770199
0.306,-1.4050456262017215
0.308,-1.4844540588898372
0.31,-1.294586654359795
0.312,-0.9140562291982162
0.314,-0.2937997972189473
0.316,0.3522907027581685
0.318,0.9641053945293593
0.32,1.4158758927624147
0.322,1.4698524883532849
0.324,1.2991729949093913
0.326,0.9000406937356298
0.328,0.26970712474683906
0.33,-0.34860156000938836
0.332,-1.1220772935522458
0.334,-1.3540980098904005
0.336,-1.51894658802693
0.338,-1.2848700387008778
0.34,-0.7867761200983859
0.342,-0.14578370452282882
0.34400000000000003,0.5192153050057606
0.34600000000000003,1.0459628167380444
0.34800000000000003,1.4786531587208684
0.35000000000000003,1.46137954678677
0.352,1.2491029417119164
0.354,0.8259123399819241
0.356,0.13360973727821424
0.358,-0.3833011504979533
0.36,-0.9892384502577423
0.362,-1.2671726502331375
0.364,-1.4344480651208251
0.366,-1.2221280867684605
0.368,-0.7263755632459599
0.37,-0.08822589290231628
0.372,0.47308753958864713
0.374,1.0406277487849458
0.376,1.3293035780133096
0.378,1.4500244797113522
0.38,1.1019837020224514
0.382,0.7310958585822471
0.384,0.06273420254054392
0.386,-0.5459141065194415
0.388,-1.0169133817907825
0.39,-1.3209398137000712
0.392,-1.2789348815726667
0.394,-1.0045316508123356
0.396,-0.613776708060536
0.398,-0.04323805105640273
0.4,0.5571369679263294
0.402,0.932623586027954
0.404,1.1810548532593832
0.406,1.1733879710560853
0.40800000000000003,0.88931008875646
0.41000000000000003,0.6061271039174954
0.41200000000000003,-0.021367297877493238
0.41400000000000003,-0.40138131391149634
0.41600000000000004,-0.8360050406996864
0.418,-1.0056354885980108
0.42,-1.0787899729031099
0.422,-0.921139328737681
0.424,-0.5029044313796738
0.426,-0.10129999834718449
0.428,0.3636857297741888
0.43,0.7332744964690487
0.432,0.9296312211592894
0.434,0.9454585312294487
0.436,0.7492166885172835
0.438,0.47370577477092035
0.44,-0.010275403427912014
0.442,-0.29974618468422254
0.444,-0.6687471989053971
0.446,-0.7418826101349454
0.448,-0.7662179205395787
0.45,-0.8036586628798293
0.452,-0.4506605008720971
0.454,-0.14378166375512766
0.456,0.1401199445485787
0.458,0.49759844628154976
0.46,0.6273673918418876
0.462,0.6156052636722723
0.464,0.6159363371463372
0.466,0.43967301055661184
0.468,0.20123459505666227
0.47000000000000003,-0.1378012769495854
0.47200000000000003,-0.2902360206368354
0.47400000000000003,-0.46139053780509
0.47600000000000003,-0.6390319743641077
0.47800000000000004,-0.5962941516668102
0.48,-0.4560600177724916
0.482,-0.2996443074615751
0.484,0.03290885845314756
0.486,0.1730641155944294
0.488,0.294748604525339
0.49,0.42733799502936753
0.492,0.5079184698694692
0.494,0.5881413886932363
0.496,0.35343040132604764
0.498,0.202363182216316
0.5,0.025702268907910737
0.502,-0.19799565806747402
0.504,-0.2483105737888624
0.506,-0.49992869563156167
0.508,-0.47358182652496505
0.51,-0.45872154296142875
0.512,-0.3142178876822306
0.514,-0.22147765770750816
0.516,0.14268450679469086
0.518,0.2652716657527778
0.52,0.4537513151843941
0.522,0.5166025601242116
0.524,0.5452558471122042
0.526,0.5263753638734329
0.528,0.3703450612884461
0.53,0.11390236155063228
0.532,-0.13546453166016006
0.534,-0.41136122086213495
0.536,-0.62784707808134
0.538,-0.6621589189843798
0.54,-0.6207717070542226
0.542,-0.47604455247618394
0.544,-0.1561520901256097
0.546,0.20174833737323128
0.548,0.4696349065870958
0.55,0.6882971189822217
0.552,0.8656498265537106
0.554,0.8929318815439224
0.556,0.5983162974506823
0.558,0.28726409881716203
0.56,-0.10346150352986817
0.562,-0.4220115935674036
0.5640000000000001,-0.8826988507772886
0.5660000000000001,-0.9366063764407551
0.5680000000000001,-0.8767455109585265
0.5700000000000001,-0.7718501156710298
0.5720000000000001,-0.2982847005991568
0.5740000000000001,0.10005364198529221
0.5760000000000001,0.49334814885454126
0.578,0.8901863118086616
0.58,0.9986768538142607
0.582,1.0336960093292653
0.584,0.9266342147904538
0.586,0.38932493331878937
0.588,0.0257728620917691
0.59,-0.5722188367335771
0.592,-0.91998905880819
0.594,-1.1849461933216126
0.596,-1.2833708123924146
0.598,-0.9477548292182474
0.6,-0.466035578318537
0.602,0.016906821217737206
0.604,0.554621915323625
0.606,1.0744039833024068
0.608,1.2537816495871121
0.61,1.1766391595589225
0.612,0.9471926517416934
0.614,0.5409192755320782
0.616,-0.11861468282163573
0.618,-0.6320491414231859
0.62,-1.0587551545049978
0.622,-1.3676146216577483
0.624,-1.3866279591326276
0.626,-1.0867209162183433
0.628,-0.5037716166417151
0.63,0.16900750188300528
0.632,0.7481787297699509
0.634,1.2303365187647919
0.636,1.4109515167177658
0.638,1.3909725543215548
0.64,1.0166333402316148
0.642,0.47506596825568626
0.644,-0.22579068134315305
0.646,-0.8645554303984413
0.648,-1.2802498719573827
0.65,-1.5309082251739645
0.652,-1.44610731057595
0.654,-1.0046551090358553
0.656,-0.4726018165639864
